ein,fre15,name15,add15,type15,subtype15,rev_15,fre12,name12,add12,type12,subtype12,rev_12,diff,diff_per,Name,lat,long,addree,status,source,flag_keep
421599565,3,asian american cancer support network,"PO BOX 2919,94087-0919",G,G30,14949.33333,3,asian american cancer support network,"PO BOX 2919,94087-0919",G,G30,26644,-11694.66667,-43.89230846,"PO BOX 2919,94087-0919",37.3492097,-122.0326019,"Sunnyvale, CA 94087, USA",Partial Match,Google,1
953842560,3,korean federation of los angeles,"981 S WESTERN AVE STE 100,90006-1080",P,P84,310590.6667,3,korean federation of los angeles,"981 S WESTERN AVE STE 100,90006-1080",P,P84,546728.3333,-236137.6667,-43.19104247,"981 S WESTERN AVE STE 100,90006-1080",34.0532855,-118.3093464,"981 S Western Ave #100, Los Angeles, CA 90006, USA",Match,Google,1
943007538,3,asian american recovery services incorporated,"1115 MISSION RD,94080-1302",F,F20,5803945,3,asian american recovery services incorporated,"1115 MISSION RD,94080-1302",F,F20,10104215.67,-4300270.667,-42.5591734,"1115 MISSION RD,94080-1302",37.6604051,-122.4379432,"1115 Mission Rd, South San Francisco, CA 94080, USA",Match,Google,0
754477742,3,chinese family sevices and charities foundation,"852 W MABEL AVE,91754-2653",P,P75,8557,3,chinese family sevices and charities foundation,"852 W MABEL AVE,91754-2653",P,P75,14718,-6161,-41.86030711,"852 W MABEL AVE,91754-2653",34.0610672,-118.1352405,"852 W Mabel Ave, Monterey Park, CA 91754, USA",Match,Google,1
942764504,3,vietnamese voluntary foundation inc,"2296 QUIMBY RD,95122-1356",P,P84,350050.6667,3,vietnamese voluntary foundation inc,"2296 QUIMBY RD,95122-1389",P,P84,600329.3333,-250278.6667,-41.69022781,"2296 QUIMBY RD,95122-1389",37.3227579,-121.8097728,"2296 Quimby Rd, San Jose, CA 95122, USA",Match,Google,1
912156681,3,american indian recruitment programs,"PO BOX 880471,92168-0471",O,O51,47188.33333,3,american indian recruitment programs,"PO BOX 880471,92168-0471",O,O51,79588.66667,-32400.33333,-40.70973254,"PO BOX 880471,92168-0471",32.7830113,-117.1707951,"San Diego, CA 92168, USA",Partial Match,Google,0
770413945,3,families with children from china northern california sf fcc,"PO BOX 6208,94706-0208",M,M20,15314.66667,3,families with children from china northern california,"PO BOX 6688,94706-0688",M,M20,25767.33333,-10452.66667,-40.56557398,"PO BOX 6688,94706-0688",37.8883952,-122.2965778,"Albany, CA 94706, USA",Partial Match,Google,1
203381435,3,pacific coast hoops youth basketball league inc,"PO BOX 5811,92646-6558",N,N62,33325.33333,3,pacific coast hoops youth basketball league inc,"PO BOX 5811,92615-5811",N,N62,54944,-21618.66667,-39.34672879,"PO BOX 5811,92615-5811",33.6578033,-117.9693144,"HUNTINGTN BCH, CA 92615, USA",Partial Match,Google,0
954835249,3,american indian healing center,"7630 PAINTER AVE STE A,90602-2373",P,P84,238552,3,american indian healing center,"12456 WASHINGTON BLVD,90602-1005",P,P84,392291,-153739,-39.19004005,"12456 WASHINGTON BLVD,90602-1005",33.9673774,-118.0462124,"12456 Washington Blvd, Whittier, CA 90602, USA",Match,Google,0
954410105,3,guam communications network,"1019 IMPERIAL BEACH BLVD APT 1,91932-2831",P,P84,243848,3,guam communications network,"4201 LONG BEACH BLVD,90807-2007",P,P84,393448,-149600,-38.02281369,"4201 LONG BEACH BLVD,90807-2007",33.8348295,-118.1898371,"4201 Long Beach Blvd, Long Beach, CA 90807, USA",Match,Google,1
953854831,3,cambodian family,"1626 E 4TH ST,92701-5148",P,P84,850637.6667,3,cambodian family,"1626 E 4TH ST,92701-5148",P,P84,1364708,-514070.3333,-37.66888839,"1626 E 4TH ST,92701-5148",33.7478234,-117.8458414,"1626 E 4th St, Santa Ana, CA 92701, USA",Match,Google,1
770364994,3,pacific grove supportive housing inc,"22645 GRAND ST,94541-5031",L,L80,172637.3333,3,pacific grove supportive housing inc,"22645 GRAND ST,94541-5031",L,L80,275785.3333,-103148,-37.40155387,"22645 GRAND ST,94541-5031",37.6690764,-122.0894789,"22645 Grand St, Hayward, CA 94541, USA",Match,Google,0
942986274,3,pacific northwest united states lifesaving association,"PO BOX 337,95448-0337",M,M0340,13217.66667,3,pacific northwest united states lifesaving association,"PO BOX 337,95448-0337",M,M0340,21027.33333,-7809.666667,-37.14054722,"PO BOX 337,95448-0337",38.6323169,-122.8761309,"Healdsburg, CA 95448, USA",Partial Match,Google,0
272168959,3,cambodia academy at mongkol borei,"1534 PLAZA LN,94010-3204",P,P84,100970.3333,3,cambodia academy at mongkol borei,"1534 PLAZA LN 320,94010-3204",P,P84,160289,-59318.66667,-37.00732219,"1534 PLAZA LN 320,94010-3204",37.59484,-122.3856571,"1534 Plaza Ln, Burlingame, CA 94010, USA",Partial Match,Google,0
941699425,3,pacific studies center,"278 HOPE ST STE A,94042-0998",H,H99,124816.3333,3,pacific studies center,"278 HOPE ST STE A,94041-1367",H,H99,194136.3333,-69320,-35.70686579,"278 HOPE ST STE A,94041-1367",37.3925783,-122.0786624,"278 Hope St STE A, Mountain View, CA 94041, USA",Match,Google,0
521577685,3,national asian pacific american families against substance abuse,"340 E 2ND ST STE 409,90012-4249",F,F21,596036.6667,3,national asian pacific american families against substance abuse,"340 E 2ND ST STE 409,90012-4249",F,F21,922431,-326394.3333,-35.38414617,"340 E 2ND ST STE 409,90012-4249",34.0482908,-118.2406139,"340 E 2nd St #409, Los Angeles, CA 90012, USA",Match,Google,1
954227375,3,asian pacific american dispute resolution center of los angeles,"1145 WILSHIRE BLVD STE 100,90017-1900",I,I51,264857.6667,3,asian pacific american dispute resolution center of los angeles,"1145 WILSHIRE BLVD STE 100,90017-1900",I,I51,409655.3333,-144797.6667,-35.34621788,"1145 WILSHIRE BLVD STE 100,90017-1900",34.0531219,-118.2645538,"1145 Wilshire Blvd #100, Los Angeles, CA 90017, USA",Match,Google,1
911912961,3,santa clara pacific beach park and recreation council,"1008 SANTA CLARA PL,92109-7227",N,N30,79176.66667,3,santa clara pacific beach park and recreation council,"1008 SANTA CLARA PL,92109-7227",N,N30,119644.6667,-40468,-33.82348844,"1008 SANTA CLARA PL,92109-7227",32.7835095,-117.2490289,"1008 Santa Clara Pl, San Diego, CA 92109, USA",Match,Google,0
942503925,3,korean community center of the east bay,"1700 BROADWAY STE 400,94612-2141",P,P28,398449,3,korean community center of the east bay,"1700 BROADWAY STE 400,94612-2141",P,P28,600458,-202009,-33.64248624,"1700 BROADWAY STE 400,94612-2141",40.9081977,-73.8965742,"Broadway, New York, USA",Partial Match,Google,1
260456976,3,korean american association of realtors and lenders of northern c,"3148 EL CAMINO REAL,95136-1644",L,L03,17003.33333,3,korean association of real estate,"3148 EL CAMINO REAL,95051-2900",L,L03,25145.33333,-8142,-32.37976563,"3148 EL CAMINO REAL,95051-2900",37.3518221,-121.9829231,"3148 El Camino Real, Santa Clara, CA 95051, USA",Match,Google,0
330396096,3,asian american senior citizens service center inc,"850 N BIRCH ST,92701-3405",P,P81,185219.6667,3,asian american senior citizens service center inc,"850 N BIRCH ST,92701-3405",P,P81,271839,-86619.33333,-31.86420393,"850 N BIRCH ST,92701-3405",33.7532078,-117.8709315,"850 N Birch St, Santa Ana, CA 92701, USA",Match,Google,1
271748419,3,pacific coast charities,"10600 WHITE ROCK RD STE 100,95670-6294",P,P12,107394,2,pacific coast charities,"10600 WHITE ROCK RD,95670-6293",P,P12,157579.5,-50185.5,-31.847734,"10600 WHITE ROCK RD,95670-6293",38.5856608,-121.2933564,"10600 White Rock Rd, Rancho Cordova, CA 95670, USA",Match,Google,0
942152893,3,chinese newcomers service center,"777 STOCKTON ST STE 104,94108-2370",P,P84,489181.6667,3,chinese newcomers service center,"777 STOCKTON ST STE 104,94108-2370",P,P84,713408.6667,-224227,-31.43037231,"777 STOCKTON ST STE 104,94108-2370",37.7928215,-122.4078356,"777 Stockton St #104, San Francisco, CA 94108, USA",Match,Google,1
954186423,3,pacific housing alliance corporation,"1030 PROSPECT BLVD,91104-4554",L,L20,2000,2,pacific housing alliance corporation,"1030 PROSPECT BLVD,91103-2810",L,L20,2886.5,-886.5,-30.71193487,"1030 PROSPECT BLVD,91103-2810",34.1606911,-118.1617388,"1030 Prospect Blvd, Pasadena, CA 91103, USA",Match,Google,0
861061762,3,korean american running team,"4715 S ALAMEDA ST,90058-2014",N,N60,40343.33333,3,korean american running team,"3600 WILSHIRE BLVD,90010-2603",N,N60,58209,-17865.66667,-30.69227554,"3600 WILSHIRE BLVD,90010-2603",34.0605163,-118.3036379,"3600 Wilshire Blvd, Los Angeles, CA 90005, USA",Match,Google,0
330953529,3,orange county korean american health information and education ctr,"9636 GARDEN GROVE BLVD,92844-1590",E,E20,58187.66667,3,orange county korean-american health information & education ctr,"9636 GDN GRV BLVD STE 20,92844-1554",E,E20,83208,-25020.33333,-30.06962472,"9636 GDN GRV BLVD STE 20,92844-1554",33.7733428,-117.9638446,"9636 Garden Grove Blvd #20, Garden Grove, CA 92844, USA",Match,Google,1
208275153,3,pacific palisades lacrosse club inc,"11344 GLADWIN ST,90049-3016",N,N60,40128.66667,3,pacific palisades lacrosse club inc,"700 SWARTHMORE AVE,90272-0000",N,N60,57302.33333,-17173.66667,-29.97027463,"700 SWARTHMORE AVE,90272-0000",34.0425588,-118.5268785,"700 N Swarthmore Ave, Pacific Palisades, CA 90272, USA",Match,Google,0
954302475,3,federation for a democratic china,"488 E OCEAN BLVD UNIT 1416,90802-4780",O,O40,37.66666667,2,federation for a democratic china,"488 E OCEAN BLVD UNIT 1416,90802-4780",O,O40,53.5,-15.83333333,-29.59501558,"488 E OCEAN BLVD UNIT 1416,90802-4780",33.7662273,-118.1875609,"488 E Ocean Blvd UNIT 1416, Long Beach, CA 90802, USA",Match,Google,0
953862907,3,pacific homes foundation,"800 N BRAND BLVD FL 19,91203-1231",L,L19,1495528.333,3,pacific homes foundation,"303 N GLENOAKS BLVD STE 1000,91502-3234",L,L19,2117731,-622202.6667,-29.38062798,"303 N GLENOAKS BLVD STE 1000,91502-3234",34.1846153,-118.3089084,"303 N Glenoaks Blvd #1000, Burbank, CA 91502, USA",Match,Google,0
943198324,3,vietnamese community center of san francisco,"764 GEARY ST,94109-7302",P,P84,103877.3333,3,vietnamese community center of san francisco,"766 GEARY ST,94109-7302",P,P84,146804,-42926.66667,-29.24080179,"766 GEARY ST,94109-7302",37.7864801,-122.415943,"766 Geary St, San Francisco, CA 94109, USA",Match,Google,1
770433255,3,indian business and professional women,"2305 GLENVIEW DR,95035-6668",P,P84,1446.666667,2,indian business and professional women,"2305 GLENVIEW DR,95035-6668",P,P84,2029,-582.3333333,-28.70050928,"2305 GLENVIEW DR,95035-6668",37.427678,-121.8641998,"2305 Glenview Dr, Milpitas, CA 95035, USA",Match,Google,0
943370645,3,indian institute of technology kanpur foundation inc,"3838 MUMFORD PL,94306-4565",P,P84,380894,3,indian institute of technology kanpur foundation inc,"3838 MUMFORD PL,94306-4565",P,P84,534081,-153187,-28.68235343,"3838 MUMFORD PL,94306-4565",37.4157539,-122.1154523,"3838 Mumford Pl, Palo Alto, CA 94306, USA",Match,Google,0
943265100,3,filipino american rural mission,"7714 ELSIE AVE,95823-5934",P,P84,35648.66667,3,filipino american rural mission,"7714 ELSIE AVE,95828-4861",P,P84,49558.66667,-13910,-28.06774463,"7714 ELSIE AVE,95828-4861",38.474014,-121.412715,"7714 Elsie Ave, Sacramento, CA 95828, USA",Match,Google,1
200501101,3,chinese service center of san diego,"5075 RUFFIN RD STE A,92123-1698",P,P20,369841.3333,3,chinese service center of san diego,"5075 RUFFIN RD STE A,92123-1698",P,P84,496407,-126565.6667,-25.49635011,"5075 RUFFIN RD STE A,92123-1698",32.828252,-117.1261995,"5075 Ruffin Rd STE A, San Diego, CA 92123, USA",Match,Google,1
953032842,3,chinese committee 0n aging of los angeles,"600 N BROADWAY STE B,90012-6113",P,P81,382160.3333,3,chinese committee 0n aging of los angeles,"600 N BROADWAY STE B,90012-6113",P,P81,502415.6667,-120255.3333,-23.93542664,"600 N BROADWAY STE B,90012-6113",34.0588892,-118.2394823,"600 N Broadway STE B, Los Angeles, CA 90012, USA",Match,Google,1
392072004,3,filipino american law enforcement officers association faleo,"PO BOX 77086,94107-0086",I,I0360,58480.33333,2,filipino american law enforcement officers association,"PO BOX 77086,94107-0086",I,I0360,75020,-16539.66667,-22.04700969,"PO BOX 77086,94107-0086",29.9179181,-95.4882679,"Houston, TX 77086, USA",Partial Match,Google,0
237394584,3,american indian child resource center,"522 GRAND AVE,94610-3515",P,P85,776345.6667,3,american indian child resource center,"522 GRAND AVE,94610-3515",P,P85,988188,-211842.3333,-21.43745252,"522 GRAND AVE,94610-3515",37.8089716,-122.2510981,"522 Grand Ave, Oakland, CA 94610, USA",Match,Google,0
264153626,3,california indian heritage center foundation inc,"2618 K ST,95816-5104",P,P84,58341,3,california indian heritage center foundation inc,"2618 K ST,95816-5104",P,P84,73242,-14901,-20.34488408,"2618 K ST,95816-5104",38.5729871,-121.4715497,"2618 K St, Sacramento, CA 95816, USA",Match,Google,0
237089337,3,japanese american religious federation housing inc,"1615 SUTTER STREET,94109-5255",L,L20,1018498.333,3,japanese american religious federation housing inc,"1615 SUTTER,94109-5255",L,L20,1270974.667,-252476.3333,-19.86478094,"1615 SUTTER,94109-5255",37.7865714,-122.4269497,"1615 Sutter St, San Francisco, CA 94109, USA",Match,Google,1
942376538,3,local indians for education,"4440 SHASTA DAM BLVD,96019-9418",P,P84,308188,3,local indians for education,"PO BOX 729,96019-0729",P,P84,381158,-72970,-19.14429187,"PO BOX 729,96019-0729",40.6915046,-122.3779053,"Shasta Lake, CA 96019, USA",Partial Match,Google,0
237097915,3,friendship house association of american indians,"56 JULIAN AVE,94103-3507",F,F20,4208572.333,3,friendship house association of american indians,"56 JULIAN AVE,94103-3507",F,F20,5160791.333,-952219,-18.45102695,"56 JULIAN AVE,94103-3507",37.7673672,-122.4213751,"56 Julian Ave, San Francisco, CA 94103, USA",Match,Google,0
953714064,3,filipino american service group inc,"135 N PARK VIEW ST,90026-5215",P,P85,528534.6667,3,filipino-american service group inc,"135 N PARK VIEW ST,90026-5215",P,P85,644821,-116286.3333,-18.03389364,"135 N PARK VIEW ST,90026-5215",34.0692574,-118.2736284,"135 N Park View St, Los Angeles, CA 90026, USA",Match,Google,1
952786341,3,homemaker service of indian wells valley,"417 DRUMMOND AVE,93555-3120",P,P44,215223.3333,3,homemaker service of indian wells valley,"417 DRUMMOND AVE,93555-3120",P,P44,262088,-46864.66667,-17.88127143,"417 DRUMMOND AVE,93555-3120",35.6367784,-117.6774473,"417 Drummond Ave, Ridgecrest, CA 93555, USA",Match,Google,0
141911866,3,pacific islander health partnership,"1505 EAST SEVENTEENTH STREET,92705-8520",E,E70,111172,3,pacific islander health partnership,"1505 E 17TH ST STE 220,92705-8520",E,E70,135055.3333,-23883.33333,-17.68410972,"1505 E 17TH ST STE 220,92705-8520",33.760245,-117.846949,"1505 17th St #220, Santa Ana, CA 92705, USA",Match,Google,1
942778443,3,the vietnamese senior citizen association of sacramento and its vicinity,"1496 GREY OWL CIR,95661-4005",P,P81,10280.33333,2,the vietnamese senior citizen association of sacramento and its,"1496 GREY OWL CIR,95661-4005",P,P81,12371,-2090.666667,-16.89973864,"1496 GREY OWL CIR,95661-4005",38.7619842,-121.2435607,"1496 Grey Owl Cir, Roseville, CA 95661, USA",Match,Google,1
912148320,2,korean community sheriff and police affairs,"8370 INDEPENDENCE AVE,91304-2780",I,I60,20116.5,2,korean community sheriff & police affairs,"8345 RESEDA BLVD,91324-4621",I,I60,24158,-4041.5,-16.7294478,"8345 RESEDA BLVD,91324-4621",34.2220331,-118.5365238,"8345 Reseda Blvd, Northridge, CA 91324, USA",Match,Google,1
